Question,Confirmation,Factoid,List,Causal,Hypothetical,Complex
Do the plays sport high attendance rates?,1,0,0,0,0,0
Wich was the first tribe to speak Insular Celtic?,0,1,0,0,0,0
Why was hunting usually done in Nordic countries in the 19th century?,0,0,0,1,0,0
What determines where a vaulter starts on the runway?,0,1,0,0,0,0
Give two examples of spiritual gifts.,0,0,1,0,0,0
Why is adding the Unix-based operating system at the end of a line problemsome?,0,0,0,1,0,0
Can the members of the lower house be elected directly or indirectly?,0,0,0,1,0,0
What did Nasser's enemies call him?,0,1,0,0,0,0
What is the largest University in Europe?,0,1,0,0,0,0
Name an example of an early stem-bird.,0,1,0,0,0,0
Does giant killing happen often?,0,0,0,0,0,1
Name 3 artists that CBS Associated Records signed on in the 80s and 90s?,0,0,1,0,0,0
What did the Province of West Jersey specify there would be for those running for an office in 1681?,0,1,0,0,0,0
Why did western power believe that the soviet government wouldn’t partake in another world war?,0,0,0,1,0,0
Why did Greg Dyke of London Weekend Television meet with representatives of the biggest five English football clubs in 1990?,0,0,0,1,0,0
Why are species can be difficult to classify because they?,0,1,0,0,0,0
Why has Botswana been forced to ban trophy hunting altogether?,0,0,0,1,0,0
Why were men eventually allowed to serve at sea in the CAF?,0,0,0,1,0,0
Why do humans most commonly hunt wildlife?,0,0,0,1,0,0
Give three examples of target organisms of pesticides.,0,0,1,0,0,0
Were those who were present at Dean's speech aware of Dean's 'Scream'?,1,0,0,0,0,0
Are there great lakes in Thuringia?,1,0,0,0,0,0
The CRTC encouraged the use of there to maintain over-the-air signals?,1,0,0,0,0,0
What is one of the most famous sporting events in the city?,0,1,0,0,0,0
Why was the US military so small initially?,0,0,0,1,0,0
What was the occasion where debutantes were exiled from society called?,0,1,0,0,0,0
Why did the Sicilian Wars end?,0,0,0,1,0,0
Is trade in pesticides and pesticide-treated products restricted in the United States?,1,0,0,0,0,0
300 Linux kernel developers work here.,0,0,0,0,0,1
Was Texas part of Mexico?,1,0,0,0,0,0
Why is it important to cook foods well?,0,0,0,1,0,0
Was sound quality from disc to disc and between players consistent or varied?,0,0,0,0,0,1
Was France's 819 line system in color?,0,1,0,0,0,0
What commission was created in 1955?,0,1,0,0,0,0
Name two Nanjing-based dance groups:,0,0,1,0,0,0
Was the third volume of the first edition deemed sufficient?,1,0,0,0,0,0
In regards to the word 'cardinal' being used in cities other than Rome who sent a letter to Pippin III?,0,1,0,0,0,0
What can prevent a green color in glass?,0,1,0,0,0,0
Why are cars with more technology at a higher risk for attack?,0,0,0,1,0,0
Why are there not more arrests from undercover investigations of interstate wildlife commerce?,0,0,0,1,0,0
Would a thin or a thick sapwood layer be found in a pine tree?,0,1,0,0,0,0
Did the Austrians keep Glatz?,1,0,0,0,0,0
Why did Chinese philosophy begin to mix with western concepts?,0,0,0,1,0,0
Was the Christian popular among the non-Ottomans?,1,0,0,0,0,0
What empire was destroyed Christian Rule?,0,1,0,0,0,0
Does New Mexico have a majority of native Spanish speakers?,1,0,0,0,0,0
Are most sexual experiences during adolescence taking place inside or separated from romantic relationships?,0,0,0,0,0,1
One way to increase university graduation by the foundation is,0,0,0,0,0,1
Why are some species becoming endangered in Portugal?,0,0,0,1,0,0
Is migration to Thuringia regular or fluctuating?,1,0,0,0,0,0
Critics don't like the foundations use of media why,0,0,0,1,0,0
Does the Great United Lodge of England communicate with one of the 70 lodges on the CLIPSAS list?,1,0,0,0,0,0
Has the Greek people done anything to make the matter more pleasant for the Turkish people?,1,0,0,0,0,0
"In deism, does God answer prayers?",1,0,0,0,0,0
The 19th century was also known as? ,0,1,0,0,0,0
Are communications services in Somalia mostly concentrated in the public or private sector?,0,1,0,0,0,0
Is it believed that they truly aren't responsible in full for the collapse?,1,0,0,0,0,0
Up until May of 2015 how much is Beyonce's total worth?,0,1,0,0,0,0
